Dataset;Name;Test Index;P.1;P.2;P.3;Cost;Accuracy;Nof.Feature;Time;Feature.Selection;MAB.rewards;MAB.visits
soybean-large-preprocessed;DPSO (MAB);1;620;25%;;0.09225560151546966;0.8761501850872554;23;51.2128963470459;1,1,0,0,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,1,0,1,0,0,0,1,1,0,0;0,0,1,1,1,1,0,0,2,0,0,2,0,0,1,0,0,0,0,0,0,0,3,2,0;2,2,3,3,3,3,2,1,5,1,1,5,2,1,3,2,2,1,1,2,1,1,8,6,1
soybean-large-preprocessed;DPSO (MAB);1;1250;50%;;0.09206945661858988;0.8824960338445267;23;100.51702928543091;1,1,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,1,1,0,1,0,0,1,0,1,1,0,1,0,0,0,1,1,0,0;0,0,2,1,1,1,0,0,2,0,0,2,0,0,1,0,0,0,0,0,0,0,3,2,0;3,2,13,7,7,7,3,1,12,1,2,12,3,1,7,2,2,1,1,2,2,1,19,13,1
soybean-large-preprocessed;DPSO (MAB);1;1880;75%;;0.09206945661858988;0.8824960338445267;23;148.11136627197266;1,1,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,1,1,0,1,0,0,1,0,1,1,0,1,0,0,0,1,1,0,0;0,0,2,1,1,1,0,0,2,0,0,2,0,0,1,0,0,0,0,0,0,0,3,2,0;4,2,21,11,10,10,3,1,21,1,2,21,5,1,10,2,2,1,2,3,3,1,30,20,1
soybean-large-preprocessed;DPSO (MAB);1;2500;100%;;0.09206945661858988;0.8824960338445267;23;195.26282286643982;1,1,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,1,1,0,1,0,0,1,0,1,1,0,1,0,0,0,1,1,0,0;0,0,2,1,1,1,0,0,2,0,0,2,0,0,1,0,0,0,0,0,0,0,3,2,0;4,4,26,14,14,13,3,1,26,1,3,26,5,1,15,4,5,3,4,3,5,1,40,27,2
soybean-large-preprocessed;DPSO (MAB);2;620;25%;;0.09371329223502825;0.9251189846641988;24;50.16462564468384;1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,1,1,1,0,1,0,1,1,0,0,0,1,1,1,0,0;1,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,1,1,0,0,1;4,1,3,1,6,1,1,2,3,2,3,1,3,1,3,1,4,4,1,4,3,3,2,1,4
soybean-large-preprocessed;DPSO (MAB);2;1250;50%;;0.08653164593641115;0.9187202538339502;23;100.08496260643005;1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,1,1,1,0,1,0,1,1,0,0,0,0,1,0,0,1;1,0,0,0,3,0,0,0,4,0,0,0,0,0,1,0,1,1,0,1,1,1,0,0,1;6,2,4,1,18,2,2,2,24,3,3,1,3,2,6,3,7,6,1,6,7,6,2,2,6
soybean-large-preprocessed;DPSO (MAB);2;1880;75%;;0.08653164593641115;0.9187202538339502;23;147.59322690963745;1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,1,1,1,0,1,0,1,1,0,0,0,0,1,0,0,1;1,0,0,0,3,0,0,0,4,0,0,0,0,0,1,0,1,1,0,1,1,1,0,0,1;10,3,7,1,28,3,2,2,37,3,4,2,3,2,10,4,10,9,2,10,10,10,3,3,10
soybean-large-preprocessed;DPSO (MAB);2;2500;100%;;0.08653164593641115;0.9187202538339502;23;194.60891008377075;1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,1,1,1,0,1,0,1,1,0,0,0,0,1,0,0,1;1,0,0,0,3,0,0,0,4,0,0,0,0,0,1,0,1,1,0,1,1,1,0,0,1;13,4,8,1,39,3,2,2,51,3,5,3,4,3,14,5,13,14,5,13,13,13,3,3,13
soybean-large-preprocessed;DPSO (MAB);3;620;25%;;0.09366675601080826;0.91544156530936;24;50.18490529060364;1,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0,1,1,0,1,0,1,1,0,0,0,0,0,1,0,0,1;0,0,1,1,1,1,0,1,0,1,0,1,1,0,1,1,0,1,0,0,0,1,0,0,1;1,2,4,3,3,3,1,4,2,4,2,3,3,1,4,3,1,3,3,1,1,4,2,1,3
soybean-large-preprocessed;DPSO (MAB);3;1250;50%;;0.09247188194982729;0.9122157588577473;25;99.39529657363892;1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,1,1,0,1;0,0,2,1,1,1,0,1,0,1,0,1,1,0,1,1,0,1,0,0,0,1,0,0,1;2,3,13,7,7,7,2,7,2,6,5,7,7,3,7,7,2,7,3,2,1,7,2,2,7
