Dataset;Name;Test Index;P.1;P.2;P.3;Cost;Accuracy;Nof.Feature;Time;Feature.Selection;MAB.rewards;MAB.visits
soybean-large-preprocessed;DPSO (Grid-Search Best);4;625;25%;c1:2.5,c2:2.5;0.09320006085060446;0.8989423585404548;27;53.25253248214722;1,1,0,0,0,0,1,1,1,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,1,0,1,1,0,1,0,0,1,0,1,0,0,0,1,1,0,0;;
soybean-large-preprocessed;DPSO (Grid-Search Best);4;1250;50%;c1:2.5,c2:2.5;0.09320006085060446;0.8989423585404548;27;106.7749490737915;1,1,0,0,0,0,1,1,1,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,1,0,1,1,0,1,0,0,1,0,1,0,0,0,1,1,0,0;;
soybean-large-preprocessed;DPSO (Grid-Search Best);4;1875;75%;c1:2.5,c2:2.5;0.09320006085060446;0.8989423585404548;27;160.53208947181702;1,1,0,0,0,0,1,1,1,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,1,0,1,1,0,1,0,0,1,0,1,0,0,0,1,1,0,0;;
soybean-large-preprocessed;DPSO (Grid-Search Best);4;2500;100%;c1:2.5,c2:2.5;0.09320006085060446;0.8989423585404548;27;214.63947558403015;1,1,0,0,0,0,1,1,1,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,1,0,1,1,0,1,0,0,1,0,1,0,0,0,1,1,0,0;;
soybean-large-preprocessed;DPSO (Grid-Search Best);5;625;25%;c1:2.5,c2:2.5;0.08941689183805046;0.8891062929666843;23;52.6090087890625;1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1;;
soybean-large-preprocessed;DPSO (Grid-Search Best);5;1250;50%;c1:2.5,c2:2.5;0.08941689183805046;0.8891062929666843;23;105.47594547271729;1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1;;
soybean-large-preprocessed;DPSO (Grid-Search Best);5;1875;75%;c1:2.5,c2:2.5;0.08941689183805046;0.8891062929666843;23;158.94307565689087;1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1;;
soybean-large-preprocessed;DPSO (Grid-Search Best);5;2500;100%;c1:2.5,c2:2.5;0.08941689183805046;0.8891062929666843;23;212.40471768379211;1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1;;
soybean-large-preprocessed;DPSO (Grid-Search Best);6;625;25%;c1:2.5,c2:2.5;0.09749646124758225;0.8792173453199364;28;53.766194105148315;1,0,0,1,1,1,0,0,0,0,1,0,0,0,1,1,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0;;
soybean-large-preprocessed;DPSO (Grid-Search Best);6;1250;50%;c1:2.5,c2:2.5;0.09749646124758225;0.8792173453199364;28;107.93255090713501;1,0,0,1,1,1,0,0,0,0,1,0,0,0,1,1,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0;;
